Año;Trimestre;Mbps (Media de bajada);Dia;Mes;Fecha
2022;2;58.44;1;4;1-4-2022
2022;1;55.11;1;1;1-1-2022
2021;4;52.34;1;10;1-10-2021
2021;3;48.46;1;7;1-7-2021
2021;2;45.63;1;4;1-4-2021
2021;1;43.11;1;1;1-1-2021
2020;4;42.36;1;10;1-10-2020
2020;3;40.67;1;7;1-7-2020
2020;2;38.32;1;4;1-4-2020
2020;1;37.52;1;1;1-1-2020
2019;4;28.26;1;10;1-10-2019
2019;3;24.18;1;7;1-7-2019
2019;2;20.33;1;4;1-4-2019
2019;1;17.38;1;1;1-1-2019
2018;4;15.95;1;10;1-10-2018
2018;3;15.36;1;7;1-7-2018
2018;2;13.85;1;4;1-4-2018
2018;1;13.22;1;1;1-1-2018
2017;4;12.01;1;10;1-10-2017
2017;3;8.34;1;7;1-7-2017
2017;2;7.16;1;4;1-4-2017
2017;1;6.62;1;1;1-1-2017
2016;4;6.34;1;10;1-10-2016
2016;3;5.94;1;7;1-7-2016
2016;2;5.42;1;4;1-4-2016
2016;1;5.08;1;1;1-1-2016
2015;4;4.99;1;10;1-10-2015
2015;3;4.79;1;7;1-7-2015
2015;2;4.55;1;4;1-4-2015
2015;1;4.35;1;1;1-1-2015
2014;4;4.16;1;10;1-10-2014
2014;3;3.87;1;7;1-7-2014
2014;2;3.76;1;4;1-4-2014
2014;1;3.62;1;1;1-1-2014
