Año;Trimestre;Tecnologia;Acceso a internet;Dia;Mes;Fecha
2022;2;ADSL;1468333;1;4;1-4-2022
2022;2;Cablemodem;5979214;1;4;1-4-2022
2022;2;Fibra óptica;2723285;1;4;1-4-2022
2022;2;Wireless;556243;1;4;1-4-2022
2022;2;Otros;231609;1;4;1-4-2022
2022;1;ADSL;1533240;1;1;1-1-2022
2022;1;Cablemodem;6073426;1;1;1-1-2022
2022;1;Fibra óptica;2219533;1;1;1-1-2022
2022;1;Wireless;545814;1;1;1-1-2022
2022;1;Otros;251996;1;1;1-1-2022
2021;4;ADSL;1657615;1;10;1-10-2021
2021;4;Cablemodem;5984240;1;10;1-10-2021
2021;4;Fibra óptica;2072236;1;10;1-10-2021
2021;4;Wireless;523107;1;10;1-10-2021
2021;4;Otros;252596;1;10;1-10-2021
2021;3;ADSL;1950631;1;7;1-7-2021
2021;3;Cablemodem;5826257;1;7;1-7-2021
2021;3;Fibra óptica;1566048;1;7;1-7-2021
2021;3;Wireless;492415;1;7;1-7-2021
2021;3;Otros;250190;1;7;1-7-2021
2021;2;ADSL;2018587;1;4;1-4-2021
2021;2;Cablemodem;5641731;1;4;1-4-2021
2021;2;Fibra óptica;1472246;1;4;1-4-2021
2021;2;Wireless;476968;1;4;1-4-2021
2021;2;Otros;253552;1;4;1-4-2021
2021;1;ADSL;2175211;1;1;1-1-2021
2021;1;Cablemodem;5424782;1;1;1-1-2021
2021;1;Fibra óptica;1362976;1;1;1-1-2021
2021;1;Wireless;434548;1;1;1-1-2021
2021;1;Otros;250455;1;1;1-1-2021
2020;4;ADSL;2213949;1;10;1-10-2020
2020;4;Cablemodem;5371824;1;10;1-10-2020
2020;4;Fibra óptica;1311199;1;10;1-10-2020
2020;4;Wireless;421554;1;10;1-10-2020
2020;4;Otros;253036;1;10;1-10-2020
2020;3;ADSL;2263889;1;7;1-7-2020
2020;3;Cablemodem;5259351;1;7;1-7-2020
2020;3;Fibra óptica;1170879;1;7;1-7-2020
2020;3;Wireless;413259;1;7;1-7-2020
2020;3;Otros;248821;1;7;1-7-2020
2020;2;ADSL;2295533;1;4;1-4-2020
2020;2;Cablemodem;5005115;1;4;1-4-2020
2020;2;Fibra óptica;1106725;1;4;1-4-2020
2020;2;Wireless;376667;1;4;1-4-2020
2020;2;Otros;247016;1;4;1-4-2020
2020;1;ADSL;2299457;1;1;1-1-2020
2020;1;Cablemodem;4903674;1;1;1-1-2020
2020;1;Fibra óptica;1047817;1;1;1-1-2020
2020;1;Wireless;352333;1;1;1-1-2020
2020;1;Otros;209145;1;1;1-1-2020
2019;4;ADSL;2414575;1;10;1-10-2019
2019;4;Cablemodem;4883869;1;10;1-10-2019
2019;4;Fibra óptica;941295;1;10;1-10-2019
2019;4;Wireless;340144;1;10;1-10-2019
2019;4;Otros;213298;1;10;1-10-2019
2019;3;ADSL;2909805;1;7;1-7-2019
2019;3;Cablemodem;4800091;1;7;1-7-2019
2019;3;Fibra óptica;852221;1;7;1-7-2019
2019;3;Wireless;338241;1;7;1-7-2019
2019;3;Otros;264326;1;7;1-7-2019
2019;2;ADSL;2990457;1;4;1-4-2019
2019;2;Cablemodem;4635575;1;4;1-4-2019
2019;2;Fibra óptica;760794;1;4;1-4-2019
2019;2;Wireless;308027;1;4;1-4-2019
2019;2;Otros;265328;1;4;1-4-2019
2019;1;ADSL;3132789;1;1;1-1-2019
2019;1;Cablemodem;4435439;1;1;1-1-2019
2019;1;Fibra óptica;637099;1;1;1-1-2019
2019;1;Wireless;276419;1;1;1-1-2019
2019;1;Otros;166389;1;1;1-1-2019
2018;4;ADSL;3329027;1;10;1-10-2018
2018;4;Cablemodem;4313831;1;10;1-10-2018
2018;4;Fibra óptica;388013;1;10;1-10-2018
2018;4;Wireless;264299;1;10;1-10-2018
2018;4;Otros;178485;1;10;1-10-2018
2018;3;ADSL;3521447;1;7;1-7-2018
2018;3;Cablemodem;4238171;1;7;1-7-2018
2018;3;Fibra óptica;247366;1;7;1-7-2018
2018;3;Wireless;246181;1;7;1-7-2018
2018;3;Otros;93870;1;7;1-7-2018
2018;2;ADSL;3557216;1;4;1-4-2018
2018;2;Cablemodem;4038141;1;4;1-4-2018
2018;2;Fibra óptica;226285;1;4;1-4-2018
2018;2;Wireless;194267;1;4;1-4-2018
2018;2;Otros;94535;1;4;1-4-2018
2018;1;ADSL;3574294;1;1;1-1-2018
2018;1;Cablemodem;3981129;1;1;1-1-2018
2018;1;Fibra óptica;217460;1;1;1-1-2018
2018;1;Wireless;165300;1;1;1-1-2018
2018;1;Otros;98870;1;1;1-1-2018
2017;4;ADSL;3584311;1;10;1-10-2017
2017;4;Cablemodem;3818157;1;10;1-10-2017
2017;4;Fibra óptica;211425;1;10;1-10-2017
2017;4;Wireless;155775;1;10;1-10-2017
2017;4;Otros;100554;1;10;1-10-2017
2017;3;ADSL;3622575;1;7;1-7-2017
2017;3;Cablemodem;3670221;1;7;1-7-2017
2017;3;Fibra óptica;193964;1;7;1-7-2017
2017;3;Wireless;106443;1;7;1-7-2017
2017;3;Otros;131740;1;7;1-7-2017
2017;2;ADSL;3723518;1;4;1-4-2017
2017;2;Cablemodem;3383434;1;4;1-4-2017
2017;2;Fibra óptica;180777;1;4;1-4-2017
2017;2;Wireless;85813;1;4;1-4-2017
2017;2;Otros;56122;1;4;1-4-2017
2017;1;ADSL;3708898;1;1;1-1-2017
2017;1;Cablemodem;3276251;1;1;1-1-2017
2017;1;Fibra óptica;180146;1;1;1-1-2017
2017;1;Wireless;84813;1;1;1-1-2017
2017;1;Otros;55746;1;1;1-1-2017
2016;4;ADSL;3722794;1;10;1-10-2016
2016;4;Cablemodem;3210602;1;10;1-10-2016
2016;4;Fibra óptica;178070;1;10;1-10-2016
2016;4;Wireless;85119;1;10;1-10-2016
2016;4;Otros;55088;1;10;1-10-2016
2016;3;ADSL;3776442;1;7;1-7-2016
2016;3;Cablemodem;3124855;1;7;1-7-2016
2016;3;Fibra óptica;169898;1;7;1-7-2016
2016;3;Wireless;81455;1;7;1-7-2016
2016;3;Otros;54300;1;7;1-7-2016
2016;2;ADSL;3782085;1;4;1-4-2016
2016;2;Cablemodem;3035272;1;4;1-4-2016
2016;2;Fibra óptica;167788;1;4;1-4-2016
2016;2;Wireless;85452;1;4;1-4-2016
2016;2;Otros;59482;1;4;1-4-2016
2016;1;ADSL;3792493;1;1;1-1-2016
2016;1;Cablemodem;2806359;1;1;1-1-2016
