Año;Trimestre;Ingresos Totales;Tecnologia;Dia;Mes;Fecha
2022;2;69824044;TV;1;4;1-4-2022
2022;1;63334931;TV;1;1;1-1-2022
2021;4;56311457;TV;1;10;1-10-2021
2021;3;54437546;TV;1;7;1-7-2021
2021;2;51713438;TV;1;4;1-4-2021
2021;1;49962876;TV;1;1;1-1-2021
2020;4;40803722;TV;1;10;1-10-2020
2020;3;38319355;TV;1;7;1-7-2020
2020;2;37164735;TV;1;4;1-4-2020
2020;1;37500230;TV;1;1;1-1-2020
2019;4;34936036;TV;1;10;1-10-2019
2019;3;31180929;TV;1;7;1-7-2019
2019;2;28329822;TV;1;4;1-4-2019
2019;1;26295976;TV;1;1;1-1-2019
2018;4;23482118;TV;1;10;1-10-2018
2018;3;22377202;TV;1;7;1-7-2018
2018;2;21156046;TV;1;4;1-4-2018
2018;1;19422735;TV;1;1;1-1-2018
2017;4;18487465;TV;1;10;1-10-2017
2017;3;16858392;TV;1;7;1-7-2017
2017;2;15700774;TV;1;4;1-4-2017
2017;1;14869605;TV;1;1;1-1-2017
2016;4;13533782;TV;1;10;1-10-2016
2016;3;12946985;TV;1;7;1-7-2016
2016;2;11754405;TV;1;4;1-4-2016
2016;1;11207066;TV;1;1;1-1-2016
2015;4;9982455;TV;1;10;1-10-2015
2015;3;9570152;TV;1;7;1-7-2015
2015;2;8664260;TV;1;4;1-4-2015
2015;1;8313925;TV;1;1;1-1-2015
2014;4;7398091;TV;1;10;1-10-2014
2014;3;6953806;TV;1;7;1-7-2014
2014;2;6395437;TV;1;4;1-4-2014
2014;1;5600705;TV;1;1;1-1-2014
2022;2;60942843;Internet fijo;1;4;1-4-2022
2022;1;56195811;Internet fijo;1;1;1-1-2022
2021;4;45467887;Internet fijo;1;10;1-10-2021
2021;3;42999944;Internet fijo;1;7;1-7-2021
2021;2;38239667;Internet fijo;1;4;1-4-2021
2021;1;36676371;Internet fijo;1;1;1-1-2021
2020;4;33539703;Internet fijo;1;10;1-10-2020
2020;3;31997445;Internet fijo;1;7;1-7-2020
2020;2;32102476;Internet fijo;1;4;1-4-2020
2020;1;29946216;Internet fijo;1;1;1-1-2020
2019;4;24169251;Internet fijo;1;10;1-10-2019
2019;3;21652748;Internet fijo;1;7;1-7-2019
2019;2;20743118;Internet fijo;1;4;1-4-2019
2019;1;20207414;Internet fijo;1;1;1-1-2019
2018;4;16637687;Internet fijo;1;10;1-10-2018
2018;3;15410981;Internet fijo;1;7;1-7-2018
2018;2;14319467;Internet fijo;1;4;1-4-2018
2018;1;13171459;Internet fijo;1;1;1-1-2018
2017;4;11226127;Internet fijo;1;10;1-10-2017
2017;3;10065998;Internet fijo;1;7;1-7-2017
2017;2;9678647;Internet fijo;1;4;1-4-2017
2017;1;8701201;Internet fijo;1;1;1-1-2017
2016;4;7483980;Internet fijo;1;10;1-10-2016
2016;3;6912442;Internet fijo;1;7;1-7-2016
2016;2;6534241;Internet fijo;1;4;1-4-2016
2016;1;5936845;Internet fijo;1;1;1-1-2016
2015;4;5376899;Internet fijo;1;10;1-10-2015
2015;3;5153739;Internet fijo;1;7;1-7-2015
2015;2;4701791;Internet fijo;1;4;1-4-2015
2015;1;4876385;Internet fijo;1;1;1-1-2015
2014;4;3950441;Internet fijo;1;10;1-10-2014
2014;3;3478638;Internet fijo;1;7;1-7-2014
2014;2;3270816;Internet fijo;1;4;1-4-2014
2014;1;2984054;Internet fijo;1;1;1-1-2014
2014;1;2916071.75;Telefonia fija;1;1;1-1-2014
2014;2;2974865.2;Telefonia fija;1;4;1-4-2014
2014;3;3105462.02;Telefonia fija;1;7;1-7-2014
2014;4;3339690.9;Telefonia fija;1;10;1-10-2014
2015;1;3260124.75;Telefonia fija;1;1;1-1-2015
2015;2;3425518.48;Telefonia fija;1;4;1-4-2015
2015;3;3590883.18;Telefonia fija;1;7;1-7-2015
2015;4;3815364.12;Telefonia fija;1;10;1-10-2015
2016;1;4198260.39;Telefonia fija;1;1;1-1-2016
2016;2;4718769.82;Telefonia fija;1;4;1-4-2016
2016;3;4951967.66;Telefonia fija;1;7;1-7-2016
2016;4;4964596.39;Telefonia fija;1;10;1-10-2016
2017;1;6375681.76;Telefonia fija;1;1;1-1-2017
2017;2;6970617.22;Telefonia fija;1;4;1-4-2017
2017;3;6667943.53;Telefonia fija;1;7;1-7-2017
2017;4;5514336.19;Telefonia fija;1;10;1-10-2017
2018;1;8252279.99;Telefonia fija;1;1;1-1-2018
2018;2;7911723.07;Telefonia fija;1;4;1-4-2018
2018;3;10111350.57;Telefonia fija;1;7;1-7-2018
2018;4;8997157.88;Telefonia fija;1;10;1-10-2018
2019;1;12238568.39;Telefonia fija;1;1;1-1-2019
2019;2;14181055.21;Telefonia fija;1;4;1-4-2019
2019;3;13404569.15;Telefonia fija;1;7;1-7-2019
2019;4;20321577.16;Telefonia fija;1;10;1-10-2019
2020;1;17067597.82;Telefonia fija;1;1;1-1-2020
2020;2;21035522.89;Telefonia fija;1;4;1-4-2020
2020;3;18162023.89;Telefonia fija;1;7;1-7-2020
2020;4;19750303.98;Telefonia fija;1;10;1-10-2020
2021;1;21378667.68;Telefonia fija;1;1;1-1-2021
2021;2;22178751.89;Telefonia fija;1;4;1-4-2021
2021;3;20789995.21;Telefonia fija;1;7;1-7-2021
2021;4;40616059.17;Telefonia fija;1;10;1-10-2021
2022;1;24881132.36;Telefonia fija;1;1;1-1-2022
