Anio;Trimestre;Provincia;Accesos por cada 100 hogares;Dia;Mes
2022;1;Buenos Aires;76.07814661;1;2
2022;1;Capital Federal;111.7978627;1;2
2022;1;Catamarca;58.20635084;1;2
2022;1;Chaco;44.0594801;1;2
2022;1;Chubut;88.05274094;1;2
2022;1;Córdoba;85.75745356;1;2
2022;1;Corrientes;47.64463514;1;2
2022;1;Entre Ríos;63.70090347;1;2
2022;1;Formosa;34.955687;1;2
2022;1;Jujuy;58.06462866;1;2
2022;1;La Pampa;91.66332531;1;2
2022;1;La Rioja;78.77459867;1;2
2022;1;Mendoza;48.73524094;1;2
2022;1;Misiones;49.043342;1;2
2022;1;Neuquén;74.1730551;1;2
2022;1;Río Negro;67.03640755;1;2
2022;1;Salta;56.10759341;1;2
2022;1;San Juan;43.54598161;1;2
2022;1;San Luis;80.72423061;1;2
2022;1;Santa Cruz;43.33842311;1;2
2022;1;Santa Fe;77.30458475;1;2
2022;1;Santiago Del Estero;47.17273839;1;2
2022;1;Tierra Del Fuego;98.29055039;1;2
2022;1;Tucumán;57.39003227;1;2
2021;4;Buenos Aires;75.66410602;1;11
2021;4;Capital Federal;111.2700261;1;11
2021;4;Catamarca;55.25269999;1;11
2021;4;Chaco;44.04856389;1;11
2021;4;Chubut;82.57340064;1;11
2021;4;Córdoba;84.50941853;1;11
2021;4;Corrientes;45.51016103;1;11
2021;4;Entre Ríos;63.15536144;1;11
2021;4;Formosa;34.45457464;1;11
2021;4;Jujuy;56.92107051;1;11
2021;4;La Pampa;89.5673427;1;11
2021;4;La Rioja;77.9234901;1;11
2021;4;Mendoza;47.50531709;1;11
2021;4;Misiones;49.06462073;1;11
2021;4;Neuquén;73.30016254;1;11
2021;4;Río Negro;65.69489961;1;11
2021;4;Salta;56.81442606;1;11
2021;4;San Juan;39.58885186;1;11
2021;4;San Luis;80.29578283;1;11
2021;4;Santa Cruz;43.05121466;1;11
2021;4;Santa Fe;77.08920179;1;11
2021;4;Santiago Del Estero;47.04594919;1;11
2021;4;Tierra Del Fuego;98.40061645;1;11
2021;4;Tucumán;55.92599102;1;11
2021;3;Buenos Aires;71.6821894;1;8
2021;3;Capital Federal;111.2710551;1;8
2021;3;Catamarca;52.70979349;1;8
2021;3;Chaco;42.96241008;1;8
2021;3;Chubut;80.70973848;1;8
2021;3;Córdoba;81.28456655;1;8
2021;3;Corrientes;44.90088313;1;8
2021;3;Entre Ríos;62.17940145;1;8
2021;3;Formosa;33.96203354;1;8
2021;3;Jujuy;55.68926474;1;8
2021;3;La Pampa;84.2799631;1;8
2021;3;La Rioja;77.26016061;1;8
2021;3;Mendoza;45.54828468;1;8
2021;3;Misiones;45.57065366;1;8
2021;3;Neuquén;69.70653345;1;8
2021;3;Río Negro;61.96721311;1;8
2021;3;Salta;55.96427806;1;8
2021;3;San Juan;39.455448;1;8
2021;3;San Luis;79.87043349;1;8
2021;3;Santa Cruz;43.74732028;1;8
2021;3;Santa Fe;75.01704763;1;8
2021;3;Santiago Del Estero;47;1;8
2021;3;Tierra Del Fuego;94.95386826;1;8
2021;3;Tucumán;54.63604486;1;8
2021;2;Buenos Aires;70.00330336;1;5
2021;2;Capital Federal;110.144402;1;5
2021;2;Catamarca;52.34030966;1;5
2021;2;Chaco;43.32762729;1;5
2021;2;Chubut;72.29410482;1;5
2021;2;Córdoba;80.11518796;1;5
2021;2;Corrientes;43.54116373;1;5
2021;2;Entre Ríos;61.66026446;1;5
2021;2;Formosa;33.22548419;1;5
2021;2;Jujuy;56.18215701;1;5
2021;2;La Pampa;82.08000672;1;5
2021;2;La Rioja;76.97866159;1;5
2021;2;Mendoza;40.97324183;1;5
2021;2;Misiones;45.01281131;1;5
2021;2;Neuquén;69.14021085;1;5
2021;2;Río Negro;61.94204057;1;5
2021;2;Salta;54.93009017;1;5
2021;2;San Juan;39.2840257;1;5
2021;2;San Luis;83.4781072;1;5
2021;2;Santa Cruz;44.01491666;1;5
2021;2;Santa Fe;75.06878626;1;5
2021;2;Santiago Del Estero;46.55727536;1;5
2021;2;Tierra Del Fuego;67.88580775;1;5
2021;2;Tucumán;54.92819651;1;5
2021;1;Buenos Aires;69.10524076;1;2
2021;1;Capital Federal;108.4199392;1;2
2021;1;Catamarca;48.89909293;1;2
2021;1;Chaco;43.13649242;1;2
2021;1;Chubut;68.99428089;1;2
2021;1;Córdoba;78.59028062;1;2
2021;1;Corrientes;42.66412844;1;2
2021;1;Entre Ríos;60.43944973;1;2
2021;1;Formosa;32.73295576;1;2
2021;1;Jujuy;55.6324479;1;2
2021;1;La Pampa;81.77676346;1;2
2021;1;La Rioja;49.80693519;1;2
2021;1;Mendoza;39.15366153;1;2
2021;1;Misiones;43.17243891;1;2
2021;1;Neuquén;66.84208942;1;2
2021;1;Río Negro;60.8792403;1;2
2021;1;Salta;53.93001926;1;2
2021;1;San Juan;39.05519434;1;2
2021;1;San Luis;81.23730177;1;2
2021;1;Santa Cruz;41.64783104;1;2
2021;1;Santa Fe;73.91656407;1;2
2021;1;Santiago Del Estero;45.67308282;1;2
2021;1;Tierra Del Fuego;77.34935609;1;2
2021;1;Tucumán;54.81892254;1;2
2020;4;Buenos Aires;68.9770222;1;11
2020;4;Capital Federal;108.3110749;1;11
2020;4;Catamarca;49.40688355;1;11
2020;4;Chaco;43.03078865;1;11
2020;4;Chubut;68.35189916;1;11
2020;4;Córdoba;78.07960876;1;11
2020;4;Corrientes;42.42828395;1;11
2020;4;Entre Ríos;59.47430676;1;11
2020;4;Formosa;32.48738191;1;11
2020;4;Jujuy;53.45659123;1;11
2020;4;La Pampa;81.76793249;1;11
2020;4;La Rioja;50.11061212;1;11
2020;4;Mendoza;38.62957896;1;11
2020;4;Misiones;42.64411416;1;11
2020;4;Neuquén;67.00234522;1;11
2020;4;Río Negro;61.08861548;1;11
2020;4;Salta;54.042752;1;11
2020;4;San Juan;36.32088216;1;11
2020;4;San Luis;81.67947806;1;11
2020;4;Santa Cruz;36.99957246;1;11
2020;4;Santa Fe;73.58073807;1;11
2020;4;Santiago Del Estero;43.74925662;1;11
2020;4;Tierra Del Fuego;76.26583497;1;11
2020;4;Tucumán;54.78340441;1;11
2020;3;Buenos Aires;67.65618983;1;8
2020;3;Capital Federal;107.6759012;1;8
2020;3;Catamarca;47.15709898;1;8
2020;3;Chaco;41.54192058;1;8
2020;3;Chubut;68.34389816;1;8
2020;3;Córdoba;75.22035724;1;8
2020;3;Corrientes;41.75074947;1;8
2020;3;Entre Ríos;58.19016409;1;8
2020;3;Formosa;31.90562331;1;8
2020;3;Jujuy;54.04441924;1;8
2020;3;La Pampa;79.26447707;1;8
2020;3;La Rioja;50.11811324;1;8
2020;3;Mendoza;37.34863314;1;8
2020;3;Misiones;41.60448629;1;8
2020;3;Neuquén;65.24417026;1;8
2020;3;Río Negro;57.05240592;1;8
2020;3;Salta;52.31571213;1;8
2020;3;San Juan;38.78995525;1;8
2020;3;San Luis;79.96172209;1;8
2020;3;Santa Cruz;35.95152891;1;8
2020;3;Santa Fe;72.12060247;1;8
2020;3;Santiago Del Estero;43.37593132;1;8
2020;3;Tierra Del Fuego;76.80909584;1;8
2020;3;Tucumán;53.22814951;1;8
2020;2;Buenos Aires;65.22058014;1;5
2020;2;Capital Federal;106.414806;1;5
2020;2;Catamarca;45.43181818;1;5
2020;2;Chaco;39.83250279;1;5
2020;2;Chubut;57.34461339;1;5
2020;2;Córdoba;72.71358531;1;5
2020;2;Corrientes;40.30476268;1;5
2020;2;Entre Ríos;56.53865474;1;5
2020;2;Formosa;31.13943623;1;5
2020;2;Jujuy;47.88781023;1;5
2020;2;La Pampa;76.10158289;1;5
2020;2;La Rioja;49.83993502;1;5
2020;2;Mendoza;36.25224342;1;5
2020;2;Misiones;40.88779601;1;5
2020;2;Neuquén;63.89846903;1;5
2020;2;Río Negro;56.36933525;1;5
2020;2;Salta;51.58158335;1;5
2020;2;San Juan;35.09485776;1;5
2020;2;San Luis;78.40967735;1;5
2020;2;Santa Cruz;35.79262397;1;5
2020;2;Santa Fe;70.00216864;1;5
2020;2;Santiago Del Estero;43.46716682;1;5
2020;2;Tierra Del Fuego;76.36948261;1;5
2020;2;Tucumán;51.78074091;1;5
2020;1;Buenos Aires;64.32563102;1;2
2020;1;Capital Federal;105.9801741;1;2
2020;1;Catamarca;37.61542769;1;2
2020;1;Chaco;37.48383337;1;2
2020;1;Chubut;51.26848942;1;2
2020;1;Córdoba;70.68807443;1;2
2020;1;Corrientes;38.72907994;1;2
2020;1;Entre Ríos;56.12006051;1;2
2020;1;Formosa;30.22830396;1;2
2020;1;Jujuy;46.67023064;1;2
2020;1;La Pampa;75.76678781;1;2
2020;1;La Rioja;46.34663138;1;2
2020;1;Mendoza;33.1420767;1;2
2020;1;Misiones;39.01834755;1;2
2020;1;Neuquén;61.84749362;1;2
2020;1;Río Negro;55.11566866;1;2
2020;1;Salta;49.59568027;1;2
2020;1;San Juan;32.39229214;1;2
2020;1;San Luis;76.30854185;1;2
2020;1;Santa Cruz;35.97427629;1;2
2020;1;Santa Fe;69.5235794;1;2
2020;1;Santiago Del Estero;42.46635919;1;2
2020;1;Tierra Del Fuego;76.06964979;1;2
2020;1;Tucumán;47.84792326;1;2
2019;4;Buenos Aires;64.25205288;1;11
2019;4;Capital Federal;106.2454675;1;11
2019;4;Catamarca;36.43842913;1;11
2019;4;Chaco;36.83547863;1;11
2019;4;Chubut;51.14501786;1;11
2019;4;Córdoba;70.48295566;1;11
2019;4;Corrientes;38.76744099;1;11
2019;4;Entre Ríos;57.99221692;1;11
2019;4;Formosa;30.47131348;1;11
2019;4;Jujuy;45.37754633;1;11
2019;4;La Pampa;76.92418969;1;11
2019;4;La Rioja;47.13589011;1;11
2019;4;Mendoza;33.64903072;1;11
2019;4;Misiones;39.78923684;1;11
2019;4;Neuquén;59.35590093;1;11
2019;4;Río Negro;55.70500968;1;11
2019;4;Salta;50.35463892;1;11
2019;4;San Juan;32.85497573;1;11
2019;4;San Luis;74.92002603;1;11
2019;4;Santa Cruz;36.71136309;1;11
2019;4;Santa Fe;69.48235726;1;11
2019;4;Santiago Del Estero;42.92077382;1;11
2019;4;Tierra Del Fuego;79.69536136;1;11
2019;4;Tucumán;47.64902013;1;11
2019;3;Buenos Aires;69.35630106;1;8
2019;3;Capital Federal;112.6453878;1;8
2019;3;Catamarca;30.88361453;1;8
2019;3;Chaco;35.84603098;1;8
2019;3;Chubut;47.56624162;1;8
2019;3;Córdoba;68.59234901;1;8
